t_author_id,rt_author_id,weight,mention
93115683,2363955661,1,@who
19993545,1010087708260274177,1,@who
93115683,258740839,1,@who
93115683,745580564959330304,1,@who
93115683,1019496431512641541,1,@who
93115683,978459551698706432,1,@who
93115683,203252729,1,@who
93115683,327449246,1,@who
93115683,879751182696230912,1,@who
435793512,2763837700,1,@who
93115683,373113388,1,@who
93115683,988914457,1,@who
93115683,344205372,1,@who
93115683,1154290593314426881,1,@who
1062265363163795456,47247955,1,@who
93115683,151627404,1,@who
955047416729923584,102361966,1,@who
93115683,34967252,1,@who
93115683,267503021,1,@who
93115683,1066040211799461888,1,@who
203590668,203590668,1,@who
189868631,2557211461,1,@who
93115683,1543773600,1,@who
93115683,37935680,1,@who
93115683,44875206,1,@who
873188174,796584061,1,@who
717561066,244560668,1,@who
93115683,2670271687,1,@who
93115683,221792047,1,@who
873188174,31549840,1,@who
44763075,1531833763,1,@who
544389588,947144342,1,@who
2412739760,947144342,1,@who
788075911144890368,824588996462338048,2,@who
544389588,947144342,1,@who
544389588,947144342,2,@who
544389588,947144342,1,@who
873188174,137236535,1,@who
147982554,605750550,1,@who
244560668,717561066,1,@who
873188174,821090730,1,@who
873188174,621127049,1,@who
873188174,701084193841934344,1,@who
873188174,853827863400726528,1,@who
873188174,148674991,1,@who
873188174,1080848545874231297,1,@who
873188174,2592244518,1,@who
873188174,178275085,1,@who
1125650403373092864,1968056263,1,@who
331202983,299273962,1,@who
1050567012366393344,963440093758410752,1,@who
378778417,707212147240128512,1,@who
198528220,281193461,1,@who
245298616,892813790965837825,1,@who
1545915336,3182917411,1,@who
44763075,1215758479,1,@who
378778417,831701006,1,@who
1115357260539154432,286973799,1,@who
378778417,1299673800,1,@who
378778417,49053573,1,@who
270434868,3379276678,1,@who
732650840,96710943,1,@who
508591081,2869437183,1,@who
508591081,119097749,1,@who
3794682452,718565617318674432,1,@who
198528220,41084457,1,@who
3794682452,198528220,1,@who
22784904,4519152792,1,@who
22784904,1184894866389639168,1,@who
3455390115,767132306071052288,1,@who
22784904,3455390115,1,@who
92537795,3319721843,1,@who
22784904,483040073,1,@who
2585985408,1260521084,1,@who
241264919,20230402,1,@who
1719525565,249288691,1,@who
245298616,793980576,1,@who
245298616,793980576,1,@who
22784904,818790909341003776,1,@who
1967114438,495142208,1,@who
1967114438,1162411937206013952,1,@who
92537795,1210955408380026882,1,@who
22784904,706912890821992448,1,@who
22784904,807985764,1,@who
22784904,95432087,1,@who
1967114438,1177233327037800453,1,@who
22784904,39602682,1,@who
245298616,245298616,1,@who
245298616,245298616,1,@who
22784904,537086905,1,@who
22784904,794283537818091520,1,@who
22784904,4920860637,1,@who
22784904,818239030672297984,1,@who
1967114438,838765322761039873,1,@who
1967114438,519526834,1,@who
214404702,34705390,1,@who
125403342,750781552053878788,1,@who
717561066,772258773381574657,1,@who
3387606493,891020396321009664,1,@who
246961837,1200566599939428352,1,@who
246961837,1200566599939428352,1,@who
1125650403373092864,482552704,1,@who
22464391,1182205446611853312,1,@who
246961837,20336210,1,@who
1967114438,715938642636636160,1,@who
20904490,1143528514550927361,1,@who
20904490,726778359284375552,1,@who
248884036,47378259,1,@who
248884036,803009731497435136,1,@who
1531038577,36051263,1,@who
248884036,1185643546168086528,1,@who
248884036,819593708995772416,1,@who
248884036,460678160,1,@who
248884036,4720620588,1,@who
2267964218,4103436672,1,@who
248884036,525040319,1,@who
248884036,321150758,1,@who
248884036,2411167819,1,@who
248884036,114855071,1,@who
248884036,54461810,1,@who
248884036,402888514,1,@who
248884036,399744312,1,@who
248884036,21674448,1,@who
1180580475913420800,956257160,1,@who
248884036,822695056758939648,1,@who
1180580475913420800,3021750713,1,@who
76417139,1176852676530696193,1,@who
1180580475913420800,274702007,1,@who
46540286,70124007,1,@who
67693913,1161812611018698752,1,@who
67693913,332373242,1,@who
172871431,172871431,1,@who
2353701600,635738446,1,@who
2633238210,6510642,1,@who
244210438,279217687,1,@who
49721178,62147616,1,@who
1173004834229895168,242864059,1,@who
36540001,36540001,1,@who
248884036,19054071,1,@who
244210438,1403865704,1,@who
244210438,247557734,1,@who
28838219,927306224445591552,1,@who
2873086085,2227102081,1,@who
1180580475913420800,80684103,1,@who
1489776218,1172295009401311239,1,@who
1489776218,41554711,1,@who
1525512522,62147616,2,@who
46540286,561640134,1,@who
67693913,478127600,1,@who
3131336122,961371121093406721,1,@who
248884036,21266998,1,@who
248884036,32941293,1,@who
248884036,165026086,1,@who
67693913,265154254,1,@who
248884036,3850389444,1,@who
1125190807219208192,4320228856,1,@who
46540286,709109857006137345,1,@who
248884036,447905333,1,@who
1165804055903514624,939798907852349440,1,@who
248884036,1539564943,1,@who
1125190807219208192,1125190807219208193,1,@who
248884036,315535724,1,@who
