t_author_id,rt_author_id,CO_tags_words_weight
1114001391540822016,913515013377220608,1
14499829,1271707021,1
1114001391540822016,1157887310,1
254122800,254122800,1
6135622,1102753514340659200,1
173739340,1010249652917194753,1
4705254252,114073963,1
18650514,2564471773,1
146569971,457554476,1
14499829,2170822680,1
1108957298594963456,1106270545715384320,1
1152967212564484096,1152967212564484101,1
14273050,705394475141431300,1
33913156,33913156,1
7587032,378521012,1
2267964218,4103436672,1
14499829,2170822680,1
861614085275865088,861614085275865088,1
290102129,452554478,1
339507191,4390788553,1
146569971,910431305401196544,1
14499829,1185612174154067968,1
844136511079559168,844136511079559168,1
